Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Curr,AP Pre,AP High,Notes
67,Jacksonville State,CUSA,9,5,.643,7,1,.875,28.1,25.2,-4.00,-7.29,,,,
68,Western Kentucky,CUSA,8,4,.667,6,2,.750,29.8,23.4,-2.98,-7.56,,,,
69,Florida International,CUSA,7,5,.583,5,3,.625,29.3,27.8,-4.77,-6.35,,,,
70,Louisiana Tech,CUSA,7,5,.583,5,3,.625,27.7,21.3,-2.87,-6.37,,,,
71,Missouri State,CUSA,7,5,.583,5,3,.625,25.4,28.3,-4.13,-4.54,,,,
72,Delaware,CUSA,6,6,.500,4,4,.500,29.8,32.5,-8.22,-7.05,,,,
73,Liberty,CUSA,4,8,.333,3,5,.375,25.6,26.5,-6.68,-5.27,,,,
74,New Mexico State,CUSA,4,8,.333,2,6,.250,21.6,27.6,-11.69,-6.77,,,,
75,Middle Tennessee State,CUSA,3,9,.250,2,6,.250,22.4,30.9,-15.62,-7.37,,,,
76,Sam Houston,CUSA,2,10,.167,1,7,.125,17.8,37.8,-19.46,-5.12,,,,
77,UTEP,CUSA,2,10,.167,1,7,.125,23.3,30.4,-14.01,-6.60,,,,
78,Notre Dame,Ind,10,2,.833,,,,42.0,17.6,21.85,5.35,9,6,6,
79,Connecticut,Ind,9,3,.750,,,,36.9,25.8,0.53,-7.73,,,,
80,Washington State,Ind,6,6,.500,,,,21.6,20.2,4.42,1.08,,,,
81,Oregon State,Ind,2,10,.167,,,,18.2,29.4,-10.32,0.60,,,,
82,Western Michigan,MAC,9,4,.692,7,1,.875,23.6,18.2,-0.92,-6.00,,,,
83,Ohio,MAC,8,4,.667,6,2,.750,28.7,22.9,-2.14,-7.39,,,,
84,Toledo,MAC,8,4,.667,6,2,.750,31.6,12.2,4.25,-7.42,,,,
85,Miami (OH),MAC,7,6,.538,6,2,.750,25.1,22.0,-4.16,-5.93,,,,
86,Central Michigan,MAC,7,5,.583,5,3,.625,23.8,22.7,-4.32,-7.49,,,,
87,Akron,MAC,5,7,.417,4,4,.500,22.3,27.4,-12.02,-9.60,,,,
88,Buffalo,MAC,5,7,.417,4,4,.500,24.0,23.5,-9.45,-8.70,,,,
89,Kent State,MAC,5,7,.417,4,4,.500,21.3,33.6,-11.16,-5.32,,,,
90,Ball State,MAC,4,8,.333,3,5,.375,15.8,29.8,-15.37,-5.54,,,,
